일자,언론사,제목,통합 분류1,키워드,특성추출
1999-09-08,한라일보,"새천년의 포문, 민속예술의 흥겨움으로 열어젖한다",문화-전시_공연,"포문,민속예술,민속예술축제,민속,예술,축제,제38회,한라,문화제,개최,길목,고유,전통민속예술,문화,시대,축제,제주,민속문화,주제,한국,민속,예술,축제,전국,청소년,민속,예술제,삼다문화,탐라,잔치,주제,한라,문화제,11일,17일,제주섬,무대,대형,문화이벤트,가락,신명,14일,한국,민속,예술,축제,17일,제주시,애향운동장,종전,민속,경연,대회,시대,흐름,탈바꿈,무대,제주개최,80년,90년,문화관광부,한국문화예술진흥원,KBS,공동,주최,제주도,제주시,주관,민속,예술,축제,이북5도,포함,42개,3천,참가,전야제,14일,6시,제주시,애향운동장,영감놀이,민속,무용,국악인,초청,공연,축하,공연,야구장,불꽃놀이,한라체육관,주요인사,참가,대표,참가,경축리셉션,마련,애향운동장,개회식,시작,17일,민속놀이,민요,풍물,민속극,민속무용등,경연종목,사연,개회식,이날,신산공원,애향운동장,길놀이,제주도립예술단,제주판굿,남군,덕수리,방앗돌,노래,식전공개행사,시작,10시,축제개막,개회식,식후행사,수상작품,대통령상,수상,작품,북군,서우젯소리,공연,개회식,대통령상,수상,작품,경북,계정들,소리,시연,16일,11개,마지막날,경연,시연,민속예술,향취,화합,축제,마당,연출,폐막공연,시상식,17일,3시,애향,운동장,공연,서귀포시,민속놀이,참가,전원,초청국악인,참가,느영나영한,마당,시상순,진행,한국민속예술축제기간중,전국,16개,8백,참가,하룻동안,애향,운동장,예정,한국민속예술축제,전국청소년민속예술제,전국팔도,민속문화,한라문화제,한국,문화,반도,차별성,제주문화,진수,무대,한국예총도,지회,주최,한라문화제,11일,17일,애향운동장,지역,제주시,서귀포시,북제주군,남제주군,분산개최,참가팀,도민,제주,관광객,즐거움,신명,관심,한국민속예술축제,연계,한라,문화제,희망감속,바람,여자,독특,제주문화,정체성,문화,관광,예술,문화관광축제,대화합축제,표방,행사,마련,주요행사,한라산신제,만덕제등,기원축제,개막축제,학생,예술,축제,제주,민속,예술제,향토,축제,대화합축제,밀레니엄,맞이,화합,축제,민속,예술,축제,경축,행사,개막식,11일,산천단,제주시,한라산신제,시작,만덕제,마당,2시,제주칠머리당굿보존회,중요,무형,문화재,초감제,공연,3시,애향,운동장,특설무대,개막식,7시,개막,축하,마당,초가을,밤하늘,서귀포시,지역,국악,무용,음악제,천지연야외광장등,북제주군,조랑말,축제,제주경마장,남제주군,정의골,마당축제,덕수전통민속재현행사,마련,행사,기간,향토물산,축제,각종,전시,공연,한라문화제,초청,강릉단오제,관노가면극,인도네시아,발리섬,참가","애향운동장,제주,제주시,민속예술축제,개회식,예술제,운동장,서귀포시,문화제,참가팀,한국,한라문화제,남제주군,국악인,한국민속예술축제,민속놀이,시상순,만덕제,대통령상,북제주군,한라산신제,개막식,대화합축제,한라,향토물산,특설무대,한국문화예술진흥원"
1999-09-11,한라일보,'정다워라 삼다문학 흥겨워라 탐라잔치' 제38회 한라문화제 오늘 개막,문화-전시_공연,"삼다문학,탐라잔치,한라,문화제,개막,한국,민속,예술,축제,연계,행사,삼다문화,탐라잔치,주제,한라,문화제,11일,개막,예총,지회,주최,행사,14일,17일,예술축제,한국,민속,예술,축제,민속예술제,전국,청소년,민속,예술제,연계,이날,특설무대,제주시,애향운동장,개막식,강영회,예총,도지회장,대회사,한라문화제,문예부흥,주도,원동력,계기,마련,행사,전통문화축제,자리,17일,한라,문화제,제주시,개막축제,학생예술축제,제주민속예술축제,제주,민속,체험,초청공연,강릉,관노,가면극,초청,공연,조랑말,축제,정의골,마당,축제,재현행사,덕수리,전통,민속,재현,행사,행사,마련,공연축제,향토문화장터,문학백일장,경축,예술,이벤트,부대,행사","제주시,문화제,강릉,삼다,예총,덕수리,한라문화제,강영회,탐라잔치,민속예술제,애향운동장,제주,예술축제,한국,한라,원동력,가면극,문학백일장,개막식,탐라,도지회장,재현행사,대회사,문예부흥,공연축제,특설무대,향토문화장터,전통문화축제,삼다문화,학생예술축제,전통문화,정의골"
1999-09-11,충청투데이,12일(일),문화-전시_공연,"12일,드라마개사육,가족,옥신각신,사랑,몽구,영심,아들,일준,친구,전학,엄마,영구,영심이,시어머니,영심,옥신각신,결국,강아지,가족,투표,결정,결과,결국,강아지,영심,강아지,신경,강아지,영구,순구,강아지,이름,골머리,오락말레이시아,한국,전통,비교,친구들,세계,다인종,다문화,공존,말레이시아,민속춤,소개,말레이시아,민속춤,줄루,국립,무용단,텔런트,윤손하,최성훈,체험,민속의상,요즘,유행,테크노,댄스,원류,한국,민속춤,그룹,한스밴드,미학,자랑,한국춤,민족정서,춤사위,거리,시민들,참가,윤정수,스타,참가자들,모습,교양스티비,원더,음악담,다큐,뮤직스타,시절,스티비,원더,노래,천재성,발견,모타운,레코드사,사장,헌신적,아내,동료들,증언,스티비,음악,디트로이트,이사,어머니,맹인,아들,보호,스티,방안,라디오,스푼,냄비,영감,창조성,리듬,블루스,리듬,원더,거장,스티비,교회,성가대,노래,스티비,모타운,레코드사,고디,사장,발탁,가수생활,시작,편집,李建駿","스티비,말레이시아,민속춤,옥신각신,영심,한국,음악담,스티,무용단,레코드사,모타운,교양스티비,드라마개사육,춤사위,민족정서,민속의상,한국춤,시민들,최성훈,동료들,윤손하,가수생활,창조성,다인종,한스밴드,다문화,디트로이트,오락말레이시아,참가자,뮤직스타,텔런트,윤정수"
1999-09-11,한라일보,(사설) 새천년 향한 문화축제,문화-요리_여행,"문화축제,전통,민속,예술,마당,제주,온섬,축제물결,삼다문화,탐라잔치,주제,한라,문화제,11일,17일,제주도,일원,민속문화,캐치프레이즈,한국,민속,예술,축제,14일,17일,제주시,애향운동장,한라문화제,도내,최대,문화행사,한국민속예술축제,연계,축제분위기,고조,한라문화제,한반도,차별,독특,제주문화,정체성,문화,관광,예술,문화관광축제,대화합축제,표방,행사,마련,한국민속예술축제,제주,80년,90년,차례,예술,경연,대회,이름,명칭,변경,시대,흐름,탈바꿈,각오,무대,민속,고장,제주,마련,의미,축제,전통,민속,예술,보존,전승,개설,그동안,축제,3백,종목,민속예술,발굴,재현,종목,국가,지정,문화재,종목,시도지정문화재,선정,성과,초창기,축제,참여,제주도,국민속예술경연대회,민속,예술,경연,대회,영감놀이,대통령상,수상,이래,상위,입상,정도,인연,문화,21세기,자산,전통문화,발굴,보존,문화,창조,심혈,의미,제주,축제,민족문화,세대,문화,창조,자리매김,축제,성공적,도민들,참여,출연팀,연희자들,성원","제주,국민속예술경연대회,문화재,한라문화제,문화제,제주도,한국민속예술축제,민속예술,대통령상,연희자,영감놀이,연희자들,탈바꿈,도민들,탐라,애향운동장,출연팀,제주시,삼다문화,전통문화,한라,시도지정문화재,제주문화,탐라잔치,21세기,문화행사,민속문화,삼다,캐치프레이즈,온섬,정체성,그동안,축제물결,민족문화,축제분위기,대화합축제,자리매김,한국"
1999-09-11,제민일보,한라문화축제 오늘 개막,문화-전시_공연,"한라문화축제,개막,한라,문화,축제,삼다문화,탐라,잔치,애향,운동장,17일,향연,삼다문화,탐라잔치,주제로,한라,문화제,애향운동장,제주시,개막,17일,민속예술축제,음악제,연극제,영화제,전시,한국예총제주도지회,지회장,강영호,주최,한라문화제,기원,축제,대화합축제,개막식,10시,주관,고양부,삼성사재단,한라산신제,유교식,봉행,11시,사라봉,모충사,만덕봉,사상,시상식,만덕제,애향운동장,10시,사투리말,대회,학생,민속,예술,마당,잔치,분위기,2시,김윤수,심방,집전,한라문화제,서막,제주,대굿,초감,이날,4시,학생,예술,축제,7시,풍물단,두드락,초청공연,12일,듬돌,물허벅경주,제주,민속,체험,마당,군별,걸궁,경연,민속예술시연,청소년,민속,예술단,환영,마당,민속예술제,전국,청소년,민속,예술제,한국,민속,예술,축제","시상식,한라문화제,애향운동장,문화제,제주,삼다문화,한라,민속예술축제,삼성사재단,민속예술제,고양부,음악제,운동장,탐라,제주시,한국,듬돌,유교식,물허벅경주,사라봉,지회장,물허벅,두드락,한라산,한국예총제주도,김윤수,모충사,강영호,경주,풍물단"
1999-09-13,한라일보,한라문화제 포토뉴스,문화-전시_공연,"한라,문화제,포토,삼다문화,탐라잔치,주제,한라,문화제,개막,예총,지회,주최,행사,14일,17일,민속예술축제,한국,민속,예술,축제,전국,청소년,민속,예술제,연계,개막,현장,도내곳곳,신명,현장","문화제,한라,한국,탐라잔치,탐라,삼다,삼다문화,도내곳곳,예총,예술제,민속예술축제,개막,민속,현장,전국,청소년,문화,잔치,행사,주최,주제,지회,도내,포토,신명,축제,예술,연계"
1999-09-21,중부매일,보은군 문화행정 ‘갈팡질팡’,지역-대전,"보은군,문화,행정,진행,문화,행사,졸속,계획자체,포기,예산,지원,갈피,차질,여타,행사,보은군,문화행정,제자리,각종,문화,행사,졸속,진행,계획,자체,포기,난맥상,군내,가을,속리산,중심,도깨비,한마당,단풍가요,속리,축전,가을,행사,문화,공연행사,집중적,마련,이벤트,관광,특구,활성,속리산,관광,협의회,별도,도비,지원,염두,행사,도깨비,기획,굿마당,관광,특구,활성,이벤트,민속,축제,지원,예산,행사,진행,여타,행사,차질,속리산,관광,협의회,별도,예산지원,겨냥,도깨비,행사,준비,도비,지원,지원비,민속,축제,행사,신청,여부,불투명,문화원,지원,행사,속리,축전,가을,지원,구두,약속,문화원,속리축전,가을,축제,일환,산신,뒤풀이,송이놀이,재연,돌물다리기,행사,준비,민속축제,분위기,준비,작업,지원,민속,축제,행사비,문화원,성격,사실,획인,속리산관광협의회,도비,군비,지원,축제,도깨비,마당,문화원,준비,송이놀이,재연,돌물다리기,가을축제,행사,자체,취소,축전,예산,대추,아가씨,선발,대회,계획,전국,공원,대회,6백만,예산,지원,문화행정,일관성,서동렬,보은","문화원,민속축제,속리축전,속리산,예산지원,가을축제,속리,행사비,뒤풀이,송이놀이,다리기,문화행정,보은군,지원비,서동렬,돌물다리기"
1999-10-02,세계일보,(WT논평)베를린 공화국,국제-유럽_EU,"베를린,공화국,독일,수도,지방도시,국제도시,베를린,베를린,독일역사,영광,공포,도시,독일,정치인,독일,과거,직면,주저,베를린,수도,외면,독일,외교,국내정책,변화,수도,이동,연방정부,동독,개선,독일,유럽,개입,오스트폴리티크,동방정책,정책,비방자들,독일,역사,동진,정책,지속,유럽,결속,폴란드,헝가리,체코공화국,유럽연합,회원,가입,독일,정책,순위,차지,발트해,연안국,관심,러시아,특별,발전,마틴,루틴,흔적,동독,전통,개신교,연방정부,서독,보수적,가톨릭체제,균형,파리,런던,과거,매력적,세계,수도들,베를린,지위,중요,사람들,계몽,도시,독일제국시대,과학,중심지,아인슈타인,무리,노벨상,수상자,베를린,기억,독일영화,표현주의,브레히트,연극,힌데미스,알란,베르테,음악,유명,多文化的,다문화적,바이마르공화국,수도,토마스,문학,거장들,세계,정복,중요성,독일,정치인,자신감,게르하르트,슈뢰더,총리,우월감,열등감,어른,나라,독일,목소리,외교정책,지속,약속,미국,측면,재정립,녹색당,사민당,연립,정부,우두머리,슈뢰더총리,베를린공화국,나토,유럽연합,EU,자신,설정,결심,비밀,미국정부,의논,동등,대접,독일,외교,정책,세계화,코소보전쟁,코소보,전쟁,독일군,제2차,대전후,국외,군사,행동,참여,EU,동유럽,독일,교량,요소,독자적,발칸정책,카스피아,석유탐사,유엔,나토내,위상,요소,바이올라,험스,드레이드,칼럼니스트","독일,베를린,유럽연합,노벨상,개신교,코소보전쟁,나토,미국,동독,유럽,사민당,바이올라,게르하르트,연방정부,슈뢰더총리,슈뢰더,외교정책,대전후,제2차,베르테,알란,러시아,힌데미스,가톨릭,가톨릭체제,多文化的,연안국,독일군,마틴,다문화적,발트해,브레히트,중심지,루틴,열등감"
1999-10-05,문화일보,-강상중 칼럼-東티모르와 국제 이권다툼,국제-아시아,"강상중,칼럼,티모르,국제,이권,다툼,티모르,아시아,세계,관심,가혹,역사,향방,세기,국제질서,시금석,인도네시아군,동티모르,철수,다국적군,진주,이래,혼란,수습,치안,회복,인도네시아군,강화,국가치안법,반정부운동,격화,발포,사망자,발생,바람,수도,자카르타,혼란상태,여운,인도네시아,동티모르,대처,치안회복,실패,국제사회,비난속,다국적군,수용,국치,초래,원래,정부,최고,책임자,진퇴,발전,결정적,실패,비상사태,대응,명목하,치안,권한,부여,법안,획책,학생,시민,분노,폭발,발칸,다민족,印尼,체제,치명,결함,권한,리더십,극복,시도,과거,한국,경험,비극,연상,다민족,다문화,다도,多島,국인,인도네시아,2억,인구,세계,축도,포르투갈,동티모르,식민,통치,지역,네덜란드,식민지,지배,일본군,점령,권위주의적,군지배,오랫동안,지속,인도네시아,폭력적,병합,국민,국가,통합,수하르토,퇴진,구심력,강제장치,군부,영향력,쇠퇴,각처,분리,독립,움직임,인도네시아,발칸화,초래,위험성,내포,근본적,원인,정치,관료,매판,기업가,부패,무능,편승,경제,진출,일본,안전,보장,전략하,인도네시아,동티모르,병합,묵인,미국,호주,과거,다국적군,주도,역할,호주,총리,하워드,브리튼,자국,주간지,인터뷰,하워드,독트린,아시아,가치,전면,부정,서구문명,가치관,근거,대아시아정책,표방,호주,미국,대리인,지역,정치,안보상,주도,역할,결의,미국,움직임,호응,동티모르,코소보,사태,호주,후방지원,노골적,정도,아시아적,평가,하워드,총리,백호주의,독트린,동남아,각국,반발,제기,인도네시아,인접,호주,자국,안전,보장,동티모르,개입,동시,호주,동티모르,부근,지하자원,경제,이해타산,동티모르,독립,경제,자립,영향력,행사,호주,동티모르,사실상,위성국,동시,인도네시아,안전보장상,완충지대,설정,인도네시아,최대,이권,연결,일본,헌법상,제약,다국적군,참가,불가능,경제,지원,치안회복후,평화유지,중심,역할,준비작업,추진중,계기,국제,질서,확립,지역분쟁,인도,개입,군사력,투입,휴머니즘,국제평화,서구문명,우월,명목하,수행,실상,정치,경제,방위,지정학,이해관계,작용,동티모르,사태,냉전,질서,진정,공정,정의,입각,지역,사람들,복지,진가,인도네시아,자체,동티모르화,발칸,신드롬,가능성,아시아,가치,서구,가치,문명,충돌식,대립,구도,초월,지정학,이해관계,질서원리,확립,요구,유감,아시아,혼란,조짐","동티모르,인도네시아,호주,아시아,다국적군,하워드,발칸,다민족,독트린,아시아적,국제질서,미국,이해관계,명목하,영향력,일본,티모르,인도네시아군,전략하,안전보장상,수하르토,충돌식,서구문명,印尼"
1999-10-08,부산일보,(강습)부산평생교육진흥회..,문화-생활,"부산평생교육진흥회,강습,부산평생교육진흥회,부산평생교육진흥회,여성학교,중학과정,12일,토요일,10~12시,부산인도네시아,영사관,인도네시아어,기초,문법,회화,12일,목요일,7시,모라종합사회복지관,무료야간컴퓨터,성인,피아노,홈패션,내일임산부기체조교실,부부교실,9일,3시,임산부,남편,1만,아빠,태교,부부,부산시양정청소년회관,일본어,11일,접수,가야컴퓨터교육장,컴퓨터무료강좌,윈도,한글97,인터넷기초,인터넷증권투자,영도주민문화센터,청년기타교실,16일,8시,2개월,명지사,합천해인사,부산표,교원,무료,요가교실,2시,7시,서구청,99하반기,서구,여성,대학,19일,3일,16일,접수,일반여성,2백,부산시립중앙도서관,무료,수족침강좌,9일,열람과,도서관,접수,서구종합사회복지관,지압,15일,금요일,10시,3개월,수지침,11월,목요일,2시,중구종합사회복지관,홈패션,양재,생활,한복,피아노,패치,워크,꽃꽂이,컴퓨터,교실,연체공동체,어린이창조체험학교,월3,어린이기자,어린이신문,방송프로그램,죽로다문화원,다도교실,12일,화요일,7시,3개월,차다리기","홈패션,합천해인사,3개월,양재,도서관,꽃꽂이,목요일,부산평생교육진흥회,화요일,영도,영도주민문화센터,1만,청년기타교실,죽로다문화원,한글97,부산인도네시아,방송프로그램,월3,체험학교,영사관,임산부,공동체,가야컴퓨터,다도교실,교육장,일본어,중학과정,어린이기자,어린이창조체험학교,인도네시아어,99하반기,명지사,임산부기,2개월,부산표,부산시양정청소년회관,수지침,서구종합사회복지관,침강좌,가야컴퓨터교육장,여성학교"
1999-10-08,국제신문,(문화생활장터)… 강습,사회-여성,"문화생활장터,강습,여성문화회관,영어,첫걸음반,중등교육,기회,여성대상,10시,금정구복지관,직업훈련프로그램,조리사교실,한식,양식,중식,홈패션교실,양재교실,컴퓨터,활용,장구교실,죽로다문화원,다도교실,12일,화요일,2시,7시,90분,3개월,차생활,이론,차다리기,실기,예절강좌,해운대복지관,프로그램,종이,12일,동화,구연,교실,한국복지재단,성인프로그램,생활한복반,홈패션반,양재반,미용사자격증,성인컴퓨터,피아노반,동삼복지관,프로그램,생활도자기반,목요일,10시,경락마사지반,화요일,10시,풍물패,강습,놀이새,사물놀이,사물놀이,무용,단소,피리강습,부산여성학교,중학과정,국어,영어,한문,사회,강좌,중학교,기초,주부,대상","화요일,사물놀이,중학교,여성문화회관,놀이새,차생활,차다리기,3개월,미용사,미용사자격증,자격증,양재반,여성대상,중등교육,예절강좌,성인컴퓨터,홈패션반,직업훈련프로그램,중학과정,피리강습,홈패션교실,장구교실,성인프로그램,첫걸음반,다도교실,한복반,금정구복지관,생활한복반,부산여성학교,피아노반,경락마사지,풍물패,동삼복지관,경락마사지반,목요일,홈패션,조리사교실,한국복지재단,죽로다문화원,해운대복지관,조리사,양재,양재교실,생활도자기반"
1999-10-09,중앙일보,(에스페란토협회장 켑 앤더비),국제-국제일반,"에스페란토협회장,앤더비,에스페란토협,회장,세계,에스페란토협회,인종,민족,사이,이해,평화,증진,목적,인권단체,앤더비,세계,에스페란토협,회장,강당,단국대,한국,에스페란토,대회,참석,NGO세계대회,서울,NGO,세계,대회,언어,인권,특별분과회의,주관,한국,에스페란토,1백,출신,폴란드,러시아,의사,자멘호프,라자루스,루드비크,창안,국제공통어,호주,출신,앤더비,회장,영어,모국어,사람,한국어,모국어,영어,의사소통,불공평,반대,전제,자신,모국어,중립,제3,언어,자유,정의,의사소통,에스페란토,理想,소개,로마군,보급,라틴어,금세기,영국,제국주의,미국,대중문화산업,패권,유지,영어,에스페란토,다문화,공존,논리,주장,호주,정부,법무부장관,대법관,역임,앤더비,회장,정책,이민,유치,호주,이민자들,각자,언어,영어,의사소통,다문화,사회,시절,에스페란토,주년,요청,행사,후원,에스페란토,관심,에스페란토,문법,논리적,60세,언어,강조","에스페란토,앤더비,호주,한국,모국어,대법관,의사소통,서울,다문화,1백,라자루스,루드비크,폴란드,단국대,에스페란토협회장,에스페란토협,영국,금세기,제국주의,라틴어,미국,대중문화산업,대중문화,로마군,법무부장관"
1999-10-13,동아일보,서울시'숭례문 개방 계획'찬반논란 '국보1호'감상가까이서 보자 지금대로 두자,문화-학술_문화재,"서울시,숭례문,개방,계획,찬반논란,국보1호,감상,가까이,서울시,숭례문,개방,계획,찬반논란,가까이,국보1호,감상,찬성,거리,제맛,문화재,답사,홍예문,출입,반대,후대,유산,훼손우려,낙서,화재,훼손,숭례문,국보,남대문,고층,빌딩,질주,차량,절해고도,국보,숭례문,서울시,계획,숭례문,개방,찬반,논란,서울시안,숭례문,횡단보도,설치,숭례문,주변,5~10,안전지대,숭례문,감상,찬성론,문화재,가까이,주장,한국건축사,전공,미술사학자,능사,서울시,계획,적극,찬성,2층,위험,숭례문,석축,石築,무지개모양,홍예문,虹門,통과,반대론,핵심,문화재,훼손,문화재,향유,후대,대상,만일,위험,대비,김동현,동국대,교수,한국건축사,숭례문,개방,낙서,화재,위험,초래,숭례문,건물,가까이,숭례문,개방,하등,김교수,제3,숭례문,남산,언덕길,숭례문,전망대,제안,전망대,숭례문,설명,사진,전시,육안,망원경,숭례문,감상,서울시,문화재위원회의허가,숭례문,지하,통로,건설,계획,문화재위원회,불허,판정,서울시,내년,문화재청문화재,위원회,허가신청,낼계획,솔로몬,지혜,결정,이광표기자","숭례문,문화재,서울시,홍예문,위원회,김동현,한국건축사,건축사,국보1호,이광표,이광표기자,솔로몬,무지개모양,낼계획,동국대,石築,미술사학자,,반대론,문화재청문화재,김교수,한국,전망대,훼손우려,절해고도,남대문,허가신청,제3,안전지대,남산,횡단보도,언덕길"
1999-10-14,중앙일보,'21세기 사전' 펴면 미래가 보인다- 佛 자크 아탈리 21세기 예측서,문화-출판,"세기,사전,미래,예측서,자크,아탈리,세기,현존,프랑스,최고,천재,자크,아탈리,56.컨설팅사,아탈리&아소시에,대표,98년,세기,사전,편혜원,정혜원,중앙M&B,9천,프랑스,언론,평가,특별,사전,4백,주제어,사전식,나열,주제어,미래,의미,에세이,독특,매력,사람,집필,만큼,현란,식견들,사치,자극,미지,미래,예측력,진단,공학,출신,경제학,박사,강단,정부,미테랑,정부,91년,고문,특별보좌관,타이틀,93년,유럽부흥개발은행,EBRD,초대,총재직,역임,현실,정치,경제,참여,저자,특별,경력,아탈리,21세기,코드,유목,노마디즘,가상현실,버츄얼리티,유목,1만,자리,농경,정착,문명,개념,일시,도시유목,측면,과거,유목,개념,유목민,유목,휴대품,소지,목록,노트북,컴퓨터,컴퓨터,종이,소멸,반지,정보,저장,교환수단,변신,인터넷,노트북,저자,진단,가상현실,하이퍼텍스트,개념,연장선상,위치,저자,소개,단어,레고,문명,아이들,레고,장난감,신조어,미래문명,다원성,의미,문명,자유,융합,문명,창출,관점,다문화주의,기본,개념,아탈리,21세기,과거,역사,기억,인물,마르크스,셰익스피어,달라이,라마,추종자,예술가,유목민,음악,주류,도시유목민들,래퍼,자리,아시아권,관측,일본,세기,후반,쇠퇴,중국,인도,급부상,인도네시아,중국,아시아,국가,자리,도시별,도쿄,싱가포르,상하이,푸동,상하이,浦東,급부상,전망,21세기,과학,전쟁,노동,사랑,음악,단어,소멸,컴퓨터,음성인식,키보드,단어,저자,예측,21세기,석유,부족,현상,낙관론,저자,19세기,자유,20세기,평등,21세기,박애,시대,희망,결과","21세기,아탈리,유목민,아시아,상하이,프랑스,급부상,중국,주제어,가상현실,레고,일본,유럽부흥개발은행,총재직,정혜원,만큼,교환수단,특별보좌관,셰익스피어,마르크스,달라이,식견들,라마,경제학,다문화,다문화주의,추종자,9천,미테랑,신조어,도시유목"
1999-10-15,경향신문,-정동칼럼-차별하지 않는 사회,국제-미국_북미,"정동칼럼,차별,사회,얼마,캐나다,총독,에이드리언,클랙슨,취임,캐나다,영연방국가,영국,여왕,총독,지명,캐나다,원수,캐나다,영국,여왕,대표,클랙슨,언론인,출신,중국,여인,철학자,저술가,남편,재혼,사이,실질적,권력,총독,캐나다,최고,자리,재혼,중국,여인,임명,사실,흥미,부모,50여년,캐나다,중국,난민,캐나다,사회,중국계,비중,중국인들,이민역사,100년,세기,후반,밴쿠버,지역,인구,절반,중국인들,캐나다,국가공헌도,영국계,프랑스계,중국계,3위,인정,캐나다,국가원수,중국계,사실,조금,실질적,백인,중심,사회,캐나다,클랙슨,국가원수,캐나다,유색인종,포용력,나라,캐나다,중요,이념,무차별,캐나다,차별,평등사회,지향,인종차별,문화,차별,남녀차별,출신,신분,학력,재산,이념,언어,차별,종류,차별,반대,클랙슨,총독,취임,사실,캐나다,사회,지향,무차별,정신,상징적,클랙슨,재혼,여인,중국,난민,사실,능력,인간,캐나다,원수,취임,결점,캐나다,무차별,이념,추구,나라,사실,강조,클랙슨,인물,캐나다,무차별,정신,실현,실질적,노력,캐나다,공용어,영어,프랑스어,사회,언어,배려,자전거,안전,헬멧,착용,의무화,터번,인도사람들,헬멧,유보조항,텔레비전,채널,제공,소수민족들,자신들,언어,방송,백인들,캐나다,인디언들,문화,존중,권리,존중,명분,사이,현실,어려움,곤혼,태도,캐나다,대법원,원주민들,어업권,보장,판결,백인,어민,피해,캐나다,문화,지배,사회,가지,이질,문화들,다문화사회,다인종사회,지향,모습,혼란,비효율,비용,지구,지구촌,오늘날,다문화사회,단일문화사회,유리,캐나다인들,다문화성,사회,총독,에이드리언,클랙슨,취임,일성,다문화사회,지향,나라,단일민족,단일문화,사회,장점,장점,민족,문화,배타성,단점,경향,단일민족,단일문화,자랑,지역차별,학력차별,남녀차별,내부,차별,문제시,성숙,구별,상대편,미성숙,차별,사회,현실,차별,사회,문화,가치,인정,사회,오늘날,사회,숙제,캐나다,밴쿠버,이남호,고려대,교수,국문학","캐나다,중국,중국계,영국,밴쿠버,다문화사회,무차별,이남호,중국인들,중국인,단일민족,다문화,국가원수,에이드리언,터번,인도사람들,어업권,비효율,의무화,원주민,고려대,소수민족들,캐나다인,유보조항,상대편,원주민들,캐나다인들,이민역사,저술가,지구촌,다문화성,지역차별"
1999-10-22,중앙일보,美 고등과학원 마이클 월저교수 내한 강연,문화-학술_문화재,"고등,과학원,마이클,월저,교수,내한,강연,개인,명예,권력,동시,사회,사회,개인,능력,선택,강조,자유주의,개인,공동선,도덕,우위,공동체주의,사회,운영원리,요약,논쟁,개인간,무한경쟁,발휘,세기말,상황,의미,논쟁,맥락,공동체주의자,미국,프린스턴,소재,고등,과학원,마이클,왈처,Michael,Walzer,석좌교수,내한,차례,강연,한국철학회,주최,다산기념강좌,자유주의,자유주의,한계,보완,주제,프린스턴,하버드대,교수,역임,왈처,교수,정의,영역,Spheres,Justice,출간,자유주의,비판자,왈처,교수,파악,자유주의,문제점,불평등,분배,소유,사람,집중,권력,명예,지배,승자,승자전취,시장,지적,해결책,왈처,교수,제시,다원,평등,명예,의료혜택,사회,가치,개인,능력,선택,동일,기준,분배,자유주의,사회,정의,분배,원칙,마련,왈처,교수,다원,평등,사회,분배,영역,정도,독점,불평등,용인,영역간,전환과정,지배,확장,사회,사회,직책,명예,체계,마련,왈처,교수,다원,평등,자연,차이,차별,근거,간주,다문화주의,태도,사람,제반,권리,옹호,적극,관용,연세대,박정순,철학,교수,고위,공직자,직권,남용,선단식,지배,구조,재벌,정경유착,구분,사회지도층,영향력,행사,자본주의,악성,문제점,한국,상황,왈처,이론,시사,설명,왈처,교수,서울대,문화관,세미나실,동국대,국제,정보,대학원,이화여대,인문관,30일,서울,세종로,프레스,센터,강연회,출국","왈처,자유주의,마이클,동국대,프린스턴,불평등,문제점,선단식,인문관,세종로,서울,문화관,미국,석좌교수,다문화주의,강연회,다문화,정경유착,연세대,다산기념강좌,다산,자본주의,승자전취,박정순"
