군구별,국적별,남,여,연도
남동구,인도네시아,926,44,2011
남동구,파키스탄,359,2,2011
남동구,우즈베키스탄,351,96,2011
남동구,미국,67,34,2011
남동구,스리랑카,367,7,2011
남동구,방글라데시,301,3,2011
남동구,일본,22,1015,2011
남동구,네팔,272,21,2011
남동구,캐나다,28,16,2011
남동구,미얀마,258,4,2011
남동구,러시아연방,6,17,2011
남동구,영국,16,9,2011
남동구,카자흐스탄,12,3,2011
남동구,호주,5,6,2011
남동구,프랑스,2,0,2011
남동구,독일,1,0,2011
남동구,기타,2265,420,2011
부평구,중국,459,850,2011
부평구,베트남,316,414,2011
부평구,대만,142,121,2011
부평구,필리핀,80,81,2011
부평구,태국,101,60,2011
부평구,인도네시아,68,17,2011
부평구,파키스탄,66,7,2011
부평구,우즈베키스탄,38,50,2011
부평구,미국,82,58,2011
부평구,스리랑카,109,3,2011
부평구,방글라데시,82,3,2011
부평구,일본,33,161,2011
부평구,네팔,33,8,2011
부평구,캐나다,22,20,2011
부평구,미얀마,87,11,2011
부평구,러시아연방,7,19,2011
부평구,영국,10,3,2011
부평구,카자흐스탄,7,11,2011
부평구,호주,4,1,2011
부평구,프랑스,3,1,2011
부평구,독일,1,0,2011
부평구,기타,2330,2215,2011
계양구,중국,161,462,2011
계양구,베트남,123,243,2011
계양구,대만,45,45,2011
계양구,필리핀,51,60,2011
계양구,태국,38,33,2011
계양구,인도네시아,29,9,2011
계양구,파키스탄,28,1,2011
계양구,우즈베키스탄,28,30,2011
계양구,미국,59,27,2011
계양구,스리랑카,24,1,2011
계양구,방글라데시,34,4,2011
계양구,일본,9,111,2011
계양구,네팔,19,2,2011
계양구,캐나다,9,8,2011
계양구,미얀마,15,1,2011
계양구,러시아연방,0,3,2011
계양구,영국,23,6,2011
계양구,카자흐스탄,0,3,2011
계양구,호주,2,0,2011
계양구,프랑스,1,0,2011
계양구,독일,0,1,2011
계양구,기타,654,721,2011
서구,중국,303,511,2011
서구,베트남,1264,425,2011
서구,대만,56,40,2011
서구,필리핀,617,133,2011
서구,태국,653,117,2011
서구,인도네시아,576,16,2011
서구,파키스탄,235,9,2011
서구,우즈베키스탄,274,62,2011
서구,미국,62,27,2011
서구,스리랑카,318,1,2011
서구,방글라데시,358,4,2011
서구,일본,26,750,2011
서구,네팔,306,8,2011
서구,캐나다,17,13,2011
서구,미얀마,180,0,2011
서구,러시아연방,1,6,2011
서구,영국,1,1,2011
서구,카자흐스탄,6,7,2011
서구,호주,7,5,2011
서구,프랑스,3,0,2011
서구,독일,1,0,2011
서구,기타,2149,590,2011
강화군,중국,31,54,2011
강화군,베트남,55,79,2011
강화군,대만,6,2,2011
강화군,필리핀,13,21,2011
강화군,태국,15,7,2011
강화군,인도네시아,18,0,2011
강화군,파키스탄,2,0,2011
강화군,우즈베키스탄,1,7,2011
강화군,미국,10,5,2011
강화군,스리랑카,9,0,2011
강화군,방글라데시,12,0,2011
강화군,일본,1,34,2011
강화군,네팔,4,0,2011
강화군,캐나다,3,3,2011
강화군,미얀마,3,0,2011
강화군,러시아연방,2,0,2011
강화군,호주,1,0,2011
강화군,프랑스,1,0,2011
강화군,기타,84,77,2011
옹진군,중국,14,10,2011
옹진군,베트남,27,17,2011
옹진군,필리핀,15,1,2011
옹진군,파키스탄,2,0,2011
옹진군,우즈베키스탄,0,1,2011
옹진군,미국,2,1,2011
옹진군,방글라데시,2,0,2011
옹진군,일본,0,16,2011
옹진군,러시아연방,0,1,2011
옹진군,카자흐스탄,0,1,2011
옹진군,기타,24,3,2011
